# निवृत्त — rows whose pair was re-asked this pass at a CURRENT digest,
# so this row's digest is superseded.  Kept, not deleted: शेषं रक्ष.
# A pair that was simply not asked is NOT retired — मौनं न निषेधः.
# addrF	addrG	rung	probe	verdict	class	where	obligation
afdc28fd60426c0c	afdc32fd60427d0a	५ induction	8bbaef04919e728e	Refused	खण्डितम् · distinct numerals 1 ≠ 0	NaturalMachine.SieveFiber : q ⇄ σ	1 != 0 of type Cubical.Data.Nat.ℕ when checking that the expression refl has type σ (q zero) ≡ zero
b907b98483d52bf0	2c268e3b5dcb147d	५ induction	c98a8e5df23c28ac	Refused	induction on List	IntegerHullMultiplicity : hull ⇄ ones	w₀ ∷ hull (ones w₁) != hull (onesElt w₀ Cubical.Data.Nat.+ ones w₁) of type Cubical.Data.List.List Cubical.Data.Nat.ℕ when checking that the expression cong (λ z → w₀ ∷ z) (अनुलोमन w₁) has type hull (ones (w₀ ∷ w₁)) ≡ w₀ ∷
b907b98483d52bf0	545f1138dc83b6c4	१ refl	8ad630b1fad4afdf	Refused	induction on List	IntegerHullMultiplicity : hull ⇄ ones	hull (ones b) != b of type Agda.Builtin.List.List Agda.Builtin.Nat.Nat when checking that the expression refl has type hull (ones b) ≡ b
b907b98483d52bf0	545f1138dc83b6c4	५ induction	c98a8e5df23c28ac	Refused	induction on List	IntegerHullMultiplicity : hull ⇄ ones	w₀ ∷ hull (ones w₁) != hull (onesElt w₀ Cubical.Data.Nat.+ ones w₁) of type Cubical.Data.List.List Cubical.Data.Nat.ℕ when checking that the expression cong (λ z → w₀ ∷ z) (अनुलोमन w₁) has type hull (ones (w₀ ∷ w₁)) ≡ w₀ ∷
cf15e0ec988ec148	6a8bb535ba21a219	१ refl	e963c33189a461ce	Refused	host type · NaturalMachine.HaskellDiscoveryBoundary.HaskellTerm	NaturalMachine.HaskellGenericSyntaxAdapter : fromGeneric ⇄ toGeneric	fromGeneric (toGeneric b) != b of type NaturalMachine.HaskellDiscoveryBoundary.HaskellTerm when checking that the expression refl has type fromGeneric (toGeneric b) ≡ b
d0380ff565c8962a	0c9a7dc8e2721a2c	२/३ split	8ab361bce76ef4e9	Refused	case on ⊎	AchromaticToy : from₁₂ ⇄ to₁₂	to₁₂ (from₁₂ a) != a of type Agda.Builtin.Unit.⊤ Cubical.Data.Sum.Base.⊎ Agda.Builtin.Unit.⊤ when checking that the expression refl has type to₁₂ (from₁₂ a) ≡ a
d0380ff565c8962a	0c9a7dc8e2721a2c	२/३ split	d4a498a09ba47441	Accepted	restates a host Iso	AchromaticToy : from₁₂ ⇄ to₁₂	
d2eb74646b65f764	8546293ab203f199	१ refl	7c29677a147569bd	Refused	enumerate Fin n	NaturalMachine.PMTorus : edgeToFin ⇄ finToEdge	edgeToFin (finToEdge b) != b of type Cubical.Data.FinData.Base.Fin 9 when checking that the expression refl has type edgeToFin (finToEdge b) ≡ b
d8c9e9c40b295820	1d661b60ad3229f4	१ refl	b5f97f11b27838d4	Refused	library lemma on ℤ	NaturalMachine.SmithPathCountedExecution : entriesOf ⇄ fromNine	mk3 (entriesOf a .fst .fst) (entriesOf a .fst .snd .fst) (entriesOf a .fst .snd .snd) (entriesOf a .snd .fst .fst) (entriesOf a .snd .fst .snd .fst) (entriesOf a .snd .fst .snd .snd) (entriesOf a .snd .snd .fst) (entriesOf a .snd
da6890586215a2e2	28621488dba1ce17	२/३ split	eb086a5f88cc41e8	Refused	खण्डितम् · distinct constructors of Bool	NaturalMachine.AdaptiveProbeCollapse : decodeTriple ⇄ staticTriple	false != true of type Cubical.Data.Bool.Bool when checking that the expression refl has type staticTriple (decodeTriple (false , true , false)) ≡ (false , true , false)
e23e3e8836fe0a97	686237b3c1632e40	१ refl	75eb1f360ace7fc4	Refused	मम दोषः · indexed family	NaturalMachine.Digits : digits ⇄ value	Cannot instantiate the metavariable _B_5 to solution (Agda.Builtin.Nat.Nat → Word k) since it contains the variable k₁ which is not in scope of the metavariable when checking that the expression digits has type
e558c7cfb38cf1b9	fd419bab67362ccf	२/३ split	eb086a5f88cc41e8	Refused	case on Bool	NaturalMachine.AdaptiveProbeCollapse : decodeTriple ⇄ staticTriple	false != true of type Cubical.Data.Bool.Bool when checking that the expression refl has type staticTriple (decodeTriple (false , true , false)) ≡ (false , true , false)
e6b0f44ac60395e1	406dda3ddf2f93b7	१ refl	f68d7d966f5c48c5	Refused	host type · NaturalMachine.PauliWeyl.Pauli	NaturalMachine.PauliGaugeCocycleSplit : central ⇄ phase	NaturalMachine.PauliWeyl.Pauli.pauli (phase b) Agda.Builtin.Bool.Bool.false Agda.Builtin.Bool.Bool.false Agda.Builtin.Bool.Bool.false Agda.Builtin.Bool.Bool.false != b of type NaturalMachine.PauliWeyl.Pauli
eb65f929f7fa3248	ecfaef41b55208d7	१ refl	b5f97f11b27838d4	Refused	library lemma on ℤ	NaturalMachine.SmithPathCountedExecution : entriesOf ⇄ fromNine	mk3 (entriesOf a .fst .fst) (entriesOf a .fst .snd .fst) (entriesOf a .fst .snd .snd) (entriesOf a .snd .fst .fst) (entriesOf a .snd .fst .snd .fst) (entriesOf a .snd .fst .snd .snd) (entriesOf a .snd .snd .fst) (entriesOf a .snd
ebdf500165adc8c2	071eb508658a4541	५ induction	692422ce00ef89a2	Refused	induction on ℕ	NaturalMachine.SieveScaleTower : s₂₁ ⇄ π₂₁	zero != b .snd of type Cubical.Data.Nat.ℕ when checking that the expression refl has type s₂₁ (π₂₁ b) ≡ b
ebdf500165adc8c2	7c1e3fcf45502231	१ refl	ca86071d5c8fd71a	Refused	induction on ℕ	NaturalMachine.SieveScaleTower : s₂₁ ⇄ π₂₁	Agda.Builtin.Nat.Nat.zero != b .snd of type Agda.Builtin.Nat.Nat when checking that the expression refl has type s₂₁ (π₂₁ b) ≡ b
ebdf500165adc8c2	7c1e3fcf45502231	५ induction	692422ce00ef89a2	Refused	induction on ℕ	NaturalMachine.SieveScaleTower : s₂₁ ⇄ π₂₁	zero != b .snd of type Cubical.Data.Nat.ℕ when checking that the expression refl has type s₂₁ (π₂₁ b) ≡ b
ec52ca6e118b9588	1402a9e71aeb53ed	२/३ split	32735447ce2d3d16	Refused	enumerate Fin n	NaturalMachine.PMTorus : edgeToObs ⇄ obsToEdge	obsToEdge (edgeToObs a) != a of type Σ (Cubical.Data.FinData.Base.Fin 3) (λ _ → Cubical.Data.FinData.Base.Fin 3) when checking that the expression refl has type
ec52ca6e118b9588	1402a9e71aeb53ed	२/३ split	c09ff2874c3e3611	Accepted	restates a host Iso	NaturalMachine.PMTorus : edgeToObs ⇄ obsToEdge	
