# निर्णयपञ्जिका — keyed on नाम's content addresses and the probe's own digest.  A row stands until one of them moves.
# ROOTS: formal/cubical:/root/.cache/cubical-v0.9/Cubical
# TOOLCHAIN: Agda version 2.8.0 Built with flags (cabal -f)  - optimise-heavily: extra optimisations | libraries: /root/.cache/cubical-v0.9/cubical.agda-lib ; /home/user/math/formal/cubical/natural-machine.agda-lib
# The pin is Agda 2.8.0 / cubical v0.9 (formal/cubical/check.sh).  A row produced off-pin is evidence about THIS toolchain, not about the corpus.
# addrF	addrG	rung	probe	verdict	class	where	obligation
24b216aadb19d4ad	2cb037a7b755f94a	१ refl	96a972c526dd5f3f	Refused	library lemma on ℤ	NaturalMachine.DSONucleusMiddleProduct : Nstar ⇄ Nsub	Cubical.Data.Int.Properties.min (Cubical.Data.Int.Properties.min (M3 x NaturalMachine.DSONucleusExecutionCalibration.Cell.e x₁ Cubical.Data.Int.Base.+
e23e3e8836fe0a97	686237b3c1632e40	५ induction	bf008211c8a402fb	Refused	मम दोषः · statement ill-typed · indexed family	NaturalMachine.Digits : digits ⇄ value	Word b → Cubical.Data.Nat.ℕ !=< Cubical.Data.Nat.ℕ when checking that the expression value b has type Cubical.Data.Nat.ℕ
7bceb57a7ba3cf1a	7bceac7a7ba3bfcf	५ induction	c6328ed3629fd1fe	Refused	मम दोषः · statement ill-typed · indexed family	NaturalMachine.Digits : digitsC ⇄ valueC	Cubical.Data.Nat.ℕ → CanWord a !=< Cubical.Data.Nat.ℕ when checking that the expression digitsC a has type Cubical.Data.Nat.ℕ
7bc1237a7b984ca8	93c61d4987d377d7	५ induction	a5d7db044961d957	Accepted	restates a host Iso	NaturalMachine.FreeMonoid : len ⇄ unlen	
12a733022eeed13d	20c474d0a8f7aa83	१ refl	e963c33189a461ce	Refused	host type · NaturalMachine.HaskellDiscoveryBoundary.HaskellTerm	NaturalMachine.HaskellGenericSyntaxAdapter : fromGeneric ⇄ toGeneric	fromGeneric (toGeneric b) != b of type NaturalMachine.HaskellDiscoveryBoundary.HaskellTerm when checking that the expression refl has type fromGeneric (toGeneric b) ≡ b
7c8180bd320fc6b8	d7a509128be249cb	२/३ split	e44363e5adfbe6a9	Refused	host enumeration (emitter gap)	NaturalMachine.InflationVersusSubgroup : incl ⇄ proj	z2 != z1 of type Z4 when checking that the expression refl has type incl (proj z1) ≡ z1
7bc10a1ad4575187	161c4c14c959b748	१ refl	951a1b7c9f9e154a	Refused	host type · H4	NaturalMachine.InflationVersusSubgroup : infl ⇄ res	infl (res b) != b of type H4 when checking that the expression refl has type infl (res b) ≡ b
3f49d1c0c8d9b536	6bafda4ccdb6c8bc	२/३ split	456c05f95532b0ee	Refused	मम दोषः · split incomplete	NaturalMachine.Nirjara_SheddingAPrimitiveCostsLaghava : apavada ⇄ bhrama	Incomplete pattern matching for .extendedlambda0. Missing cases: .extendedlambda0 (mita' x) .extendedlambda0 (yoga' b b₁) when checking the definition of .extendedlambda0
3f49d1c0c8d9b536	b22142df0903be1c	२/३ split	857160644e9ecb0d	Refused	खण्डितम् · the host proves the other value	NaturalMachine.Nirjara_SheddingAPrimitiveCostsLaghava : apavada ⇄ nyasa	nyasa-apavada : (e : Pada) → nyasa (apavada e) ≡ nirjara e
3f49d1c0c8d9b536	a416988e20d8d0af	२/३ split	0c701a76f8a3874c	Refused	host enumeration (emitter gap)	NaturalMachine.Nirjara_SheddingAPrimitiveCostsLaghava : apavada ⇄ sthula	yoga' (apavada (nyasa cara')) (apavada (mita 0)) != cara' of type Laghu when checking that the expression refl has type apavada (sthula cara') ≡ cara'
2650153aedb02c19	43945c92f13b5836	२/३ split	eb8b6922f279d8e6	Accepted	restates a host Iso	NaturalMachine.PMTorus : ctxToVertex ⇄ vertexToCtx	
6558e02411aa6e5d	bf1189c81dfa2ff2	२/३ split	d9c2af101013b6d5	Accepted	restates a host Iso	NaturalMachine.PMTorus : edgeToFin ⇄ finToEdge	
051d2c4ec1eec960	e9fea4484816ed0d	२/३ split	c09ff2874c3e3611	Accepted	restates a host Iso	NaturalMachine.PMTorus : edgeToObs ⇄ obsToEdge	
ac435ff9ccc6b0ef	a7d3ee7585b31fe5	२/३ split	970807e8c287c1da	Accepted	restates a host Iso	NaturalMachine.PMTorus : finToVertex ⇄ vertexToFin	
e8327c760f7f3ef6	6b62d47a7298238f	१ refl	f68d7d966f5c48c5	Refused	host type · NaturalMachine.PauliWeyl.Pauli	NaturalMachine.PauliGaugeCocycleSplit : central ⇄ phase	NaturalMachine.PauliWeyl.Pauli.pauli (phase b) Agda.Builtin.Bool.Bool.false Agda.Builtin.Bool.Bool.false Agda.Builtin.Bool.Bool.false Agda.Builtin.Bool.Bool.false != b of type NaturalMachine.PauliWeyl.Pauli
1319fe76af392e24	43b83ac6884ed15c	१ refl	3e32119a03eabbbd	Refused	मम दोषः · indexed family	NaturalMachine.RawWordPaddingNormalForm : join ⇄ split	Cannot instantiate the metavariable _B_5 to solution (D.CanWord k Cubical.Data.Sigma.Base.× Agda.Builtin.Nat.Nat → D.Word k) since it contains the variable k₁
5f2a9b7a74acc369	3b2118e042a0800a	५ induction	4db22064fa42954d	Refused	मम दोषः · statement ill-typed · indexed family	NaturalMachine.RawWordPaddingNormalForm : paddingCount ⇄ zeroRun	Cubical.Data.Nat.ℕ → D.Word b !=< Cubical.Data.Nat.ℕ when checking that the expression zeroRun b has type Cubical.Data.Nat.ℕ
746e7a7a77d335a6	746e7b7a77d33759	१ refl	4722fbe9215f963f	Accepted	restates a host Iso	NaturalMachine.S3IntegerRelativeCoordinates : intersectionToKernel ⇄ kernelToIntersection	
