varna	pattern	uddista	matra	guru	codas	top_types
9	LGLLGGGGG	14	15	6	1	[('10i', 1)]
9	GGGLLLGGG	57	15	6	1	[('10i', 1)]
9	LLLGLGLGG	88	13	4	1	[('10i', 1)]
9	LLLLGLGGG	48	13	4	1	[('10i', 1)]
9	GLLLLLLGG	127	12	3	1	[('10i', 1)]
9	GLLLLLGGG	63	13	4	1	[('10i', 1)]
9	LGLGLGGGG	22	15	6	1	[('10i', 1)]
9	LGGGGGLGG	66	16	7	1	[('10i', 1)]
9	GLGGGLLLG	227	14	5	1	[('10i', 1)]
9	LGGLGGLGG	74	15	6	1	[('10i', 1)]
9	LLLGLLLGG	120	12	3	1	[('10i', 1)]
9	GGLGLLLLG	245	13	4	1	[('10i', 1)]
9	GGGGGLGGG	33	17	8	1	[('10i', 1)]
9	GLLLGLLGG	111	13	4	1	[('10i', 1)]
9	LLLLLLGLG	192	11	2	1	[('10i', 1)]
9	LLLGLLGGG	56	13	4	1	[('10i', 1)]
9	LLGLGGLLL	460	12	3	1	[('10i', 1)]
9	LLLGGGGGG	8	15	6	1	[('10i', 1)]
9	GGLGGGGGG	5	17	8	1	[('10R', 1)]
9	GGGGGGLLG	193	16	7	1	[('10R', 1)]
9	LGLLGLLLL	494	11	2	1	[('10-NOISE', 1)]
9	GGLLGGLLG	205	14	5	1	[('10-NOISE', 1)]
9	GGLLGGGLL	397	14	5	1	[('10-NOISE', 1)]
9	LLLLGLLLL	496	10	1	1	[('10-NOISE', 1)]
9	GLGLLLLLG	251	12	3	1	[('10R', 1)]
