AskingIsNotAPropertyOfTheFunction.same	P(d:Agda.Builtin.Nat.Nat(),P(d:Agda.Builtin.Nat.Nat(),d:Agda.Builtin.Cubical.Path._≡_(d:Agda.Primitive.lzero()d:Agda.Builtin.Nat.Nat()d:AskingIsNotAPropertyOfTheFunction.peel(v1()v0())d:AskingIsNotAPropertyOfTheFunction.askℕ(v1()v0()))))	AskingIsNotAPropertyOfTheFunction._.go Cubical.Data.Nat.Properties.discreteℕ 
AskingIsNotAPropertyOfTheFunction.sameFunction	d:Agda.Builtin.Cubical.Path._≡_(d:Agda.Primitive.lzero()P(d:Agda.Builtin.Nat.Nat(),P(d:Agda.Builtin.Nat.Nat(),d:Agda.Builtin.Nat.Nat()))d:AskingIsNotAPropertyOfTheFunction.peel()d:AskingIsNotAPropertyOfTheFunction.askℕ())	Cubical.Foundations.Prelude.funExt Agda.Primitive.lzero Agda.Builtin.Nat.Nat Agda.Primitive.lzero Agda.Builtin.Nat.Nat Agda.Builtin.Nat.Nat AskingIsNotAPropertyOfTheFunction.peel AskingIsNotAPropertyOfTheFunction.askℕ Cubical.Foundations.Prelude.funExt Agda.Primitive.lzero Agda.Builtin.Nat.Nat Agda.Primitive.lzero Agda.Builtin.Nat.Nat AskingIsNotAPropertyOfTheFunction.peel AskingIsNotAPropertyOfTheFunction.askℕ AskingIsNotAPropertyOfTheFunction.same 
AskingIsNotAPropertyOfTheFunction.ask-step	P(d:Agda.Builtin.Nat.Nat(),P(d:Agda.Builtin.Nat.Nat(),d:Agda.Builtin.Cubical.Path._≡_(d:Agda.Primitive.lzero()d:Agda.Builtin.Nat.Nat()d:AskingIsNotAPropertyOfTheFunction.askℕ(c:Agda.Builtin.Nat.Nat.suc(v1())c:Agda.Builtin.Nat.Nat.suc(v0()))d:AskingIsNotAPropertyOfTheFunction.askℕ(v1()v0()))))	Cubical.Foundations.Prelude._∙_ Agda.Primitive.lzero Agda.Builtin.Nat.Nat AskingIsNotAPropertyOfTheFunction.askℕ Agda.Builtin.Nat.Nat.suc Agda.Builtin.Nat.Nat.suc AskingIsNotAPropertyOfTheFunction.peel Agda.Builtin.Nat.Nat.suc Agda.Builtin.Nat.Nat.suc AskingIsNotAPropertyOfTheFunction.askℕ AskingIsNotAPropertyOfTheFunction.same Agda.Builtin.Nat.Nat.suc Agda.Builtin.Nat.Nat.suc Agda.Primitive.Cubical.primINeg Cubical.Foundations.Prelude._∙_ Agda.Primitive.lzero Agda.Builtin.Nat.Nat AskingIsNotAPropertyOfTheFunction.peel Agda.Builtin.Nat.Nat.suc Agda.Builtin.Nat.Nat.suc AskingIsNotAPropertyOfTheFunction.peel AskingIsNotAPropertyOfTheFunction.askℕ AskingIsNotAPropertyOfTheFunction.peel-step AskingIsNotAPropertyOfTheFunction.same 
AskingIsNotAPropertyOfTheFunction.run	P(d:AskingIsNotAPropertyOfTheFunction.Presentation(),P(d:Agda.Builtin.Nat.Nat(),P(d:Agda.Builtin.Nat.Nat(),d:Agda.Builtin.Nat.Nat())))	AskingIsNotAPropertyOfTheFunction.peel AskingIsNotAPropertyOfTheFunction.askℕ 
AvataranaBhanga_TheQuotientCannotHostTheTypeOfWitnessesAndTheProofIsOneTransport.DependentFactorsThrough	P(d:Agda.Primitive.Level(),P(d:Agda.Primitive.Level(),P(d:Agda.Primitive.Level(),P(S,P(S,P(P(v1(),v1()),P(P(v2(),S),S)))))))	Cubical.Core.Primitives.Σ-syntax Agda.Primitive._⊔_ Agda.Primitive.lsuc Agda.Primitive._⊔_ Agda.Primitive.lsuc Agda.Builtin.Cubical.Path._≡_ Agda.Primitive.lsuc 
AvataranaBhanga_TheQuotientCannotHostTheTypeOfWitnessesAndTheProofIsOneTransport.dependent-collision-obstructs	P(d:Agda.Primitive.Level(),P(d:Agda.Primitive.Level(),P(d:Agda.Primitive.Level(),P(S,P(S,P(P(v1(),v1()),P(P(v2(),S),P(v3(),P(vn(),P(d:Agda.Builtin.Cubical.Path._≡_(vn()vn()v3(v1())v3(v0())),P(v3(v2()),P(d:Cubical.Relation.Nullary.Base.¬_(vn()vn(v2())),d:Cubical.Relation.Nullary.Base.¬_(d:Agda.Primitive._⊔_(d:Agda.Primitive._⊔_(vn()vn())d:Agda.Primitive.lsuc(vn()))d:AvataranaBhanga_TheQuotientCannotHostTheTypeOfWitnessesAndTheProofIsOneTransport.DependentFactorsThrough(vn()vn()vn()vn()vn()vn()vn()))))))))))))))	Cubical.Foundations.Prelude.transport Cubical.Foundations.Prelude._∙_ Agda.Primitive.lsuc Cubical.Foundations.Prelude._∙_ Agda.Primitive.lsuc Agda.Primitive.Cubical.primINeg 
AvataranaBhanga_TheQuotientCannotHostTheTypeOfWitnessesAndTheProofIsOneTransport.Filler	P(d:KramaNiyama_TheLawOfSuccessionDoesNotFactorThroughTheCarrier.नियमः(),S)	Agda.Builtin.Cubical.Path._≡_ Agda.Primitive.lzero Agda.Builtin.Sigma.Σ Agda.Primitive.lzero Agda.Primitive.lzero Cubical.Data.Int.Base.ℤ Cubical.Data.Int.Base.ℤ KramaNiyama_TheLawOfSuccessionDoesNotFactorThroughTheCarrier.g₁ KramaNiyama_TheLawOfSuccessionDoesNotFactorThroughTheCarrier.g₂ KramaNiyama_TheLawOfSuccessionDoesNotFactorThroughTheCarrier.g₂ KramaNiyama_TheLawOfSuccessionDoesNotFactorThroughTheCarrier.g₁ 
AvataranaBhanga_TheQuotientCannotHostTheTypeOfWitnessesAndTheProofIsOneTransport.carrierTranscript	P(d:KramaNiyama_TheLawOfSuccessionDoesNotFactorThroughTheCarrier.नियमः(),d:Agda.Builtin.List.List(d:Agda.Primitive.lzero()d:Agda.Builtin.Bool.Bool()))	QuotientFiberLaw.Law.obs Agda.Primitive.lzero KramaNiyama_TheLawOfSuccessionDoesNotFactorThroughTheCarrier.नियमः KramaNiyama_TheLawOfSuccessionDoesNotFactorThroughTheCarrier.वाहक-दृष्टिः 
AvataranaBhanga_TheQuotientCannotHostTheTypeOfWitnessesAndTheProofIsOneTransport.sameCarrierTranscript	d:Agda.Builtin.Cubical.Path._≡_(d:Agda.Primitive.lzero()d:Agda.Builtin.List.List(d:Agda.Primitive.lzero()d:Agda.Builtin.Bool.Bool())d:AvataranaBhanga_TheQuotientCannotHostTheTypeOfWitnessesAndTheProofIsOneTransport.carrierTranscript(d:KramaNiyama_TheLawOfSuccessionDoesNotFactorThroughTheCarrier.μT())d:AvataranaBhanga_TheQuotientCannotHostTheTypeOfWitnessesAndTheProofIsOneTransport.carrierTranscript(d:KramaNiyama_TheLawOfSuccessionDoesNotFactorThroughTheCarrier.μK()))	QuotientFiberLaw.Law.obs-agree Agda.Primitive.lzero KramaNiyama_TheLawOfSuccessionDoesNotFactorThroughTheCarrier.नियमः KramaNiyama_TheLawOfSuccessionDoesNotFactorThroughTheCarrier.वाहक-दृष्टिः KramaNiyama_TheLawOfSuccessionDoesNotFactorThroughTheCarrier.μT KramaNiyama_TheLawOfSuccessionDoesNotFactorThroughTheCarrier.μK KramaNiyama_TheLawOfSuccessionDoesNotFactorThroughTheCarrier.अन्धयुग्मम् 
AvataranaBhanga_TheQuotientCannotHostTheTypeOfWitnessesAndTheProofIsOneTransport.fillerDoesNotFactorThroughCarrier	d:Cubical.Relation.Nullary.Base.¬_(d:Agda.Primitive.lsuc(d:Agda.Primitive.lzero())d:AvataranaBhanga_TheQuotientCannotHostTheTypeOfWitnessesAndTheProofIsOneTransport.DependentFactorsThrough(d:Agda.Primitive.lzero()d:Agda.Primitive.lzero()d:Agda.Primitive.lzero()d:KramaNiyama_TheLawOfSuccessionDoesNotFactorThroughTheCarrier.नियमः()d:Agda.Builtin.List.List(d:Agda.Primitive.lzero()d:Agda.Builtin.Bool.Bool())d:AvataranaBhanga_TheQuotientCannotHostTheTypeOfWitnessesAndTheProofIsOneTransport.carrierTranscript()d:AvataranaBhanga_TheQuotientCannotHostTheTypeOfWitnessesAndTheProofIsOneTransport.Filler()))	AvataranaBhanga_TheQuotientCannotHostTheTypeOfWitnessesAndTheProofIsOneTransport.dependent-collision-obstructs Agda.Primitive.lzero Agda.Primitive.lzero Agda.Primitive.lzero KramaNiyama_TheLawOfSuccessionDoesNotFactorThroughTheCarrier.नियमः Agda.Builtin.List.List Agda.Primitive.lzero Agda.Builtin.Bool.Bool AvataranaBhanga_TheQuotientCannotHostTheTypeOfWitnessesAndTheProofIsOneTransport.carrierTranscript AvataranaBhanga_TheQuotientCannotHostTheTypeOfWitnessesAndTheProofIsOneTransport.Filler KramaNiyama_TheLawOfSuccessionDoesNotFactorThroughTheCarrier.μT KramaNiyama_TheLawOfSuccessionDoesNotFactorThroughTheCarrier.μK AvataranaBhanga_TheQuotientCannotHostTheTypeOfWitnessesAndTheProofIsOneTransport.sameCarrierTranscript KramaNiyama_TheLawOfSuccessionDoesNotFactorThroughTheCarrier.समम् KramaNiyama_TheLawOfSuccessionDoesNotFactorThroughTheCarrier.विषमम् 
TheMultiPrimeDivisorLatticeIsRankSymmetricRankUnimodalAndSpernerBySymmetricChains.mirrorM	P(d:Agda.Builtin.Nat.Nat(),P(P(d:Agda.Builtin.Nat.Nat(),d:Agda.Builtin.Nat.Nat()),P(d:SpernerFromSl2.DivM(v1()v0()),d:SpernerFromSl2.DivM(v2()v1()))))	Agda.Builtin.Sigma._,_ Agda.Builtin.Sigma.Σ.fst Agda.Builtin.Sigma._,_ Cubical.Foundations.Prelude._∙_ Agda.Primitive.lzero Agda.Builtin.Nat.Nat Agda.Builtin.Nat._+_ Agda.Builtin.Sigma.Σ.fst Agda.Builtin.Nat._+_ Agda.Builtin.Sigma.Σ.fst Cubical.Data.Nat.Properties.+-comm Agda.Builtin.Sigma.Σ.fst Agda.Builtin.Sigma.Σ.snd 
